chromosome,start,end,name,colour,source,phenotype,population
chr3,11110000,12380000,S3_198216153,acen,QTL,DTA,all
chr3,15569999,17100000,S3_227478537,acen,QTL,DTA,all
chr4,8470000,9580000,S4_179648273,acen,QTL,DTA,all
chr4,10790000,13919999,S4_231205029,acen,QTL,DTA,all
chr5,2820000,3250000,S5_6683468,acen,QTL,DTA,all
chr5,7440000,7920000,S5_100701772,acen,QTL,DTA,all
chr6,2320000,3510000,S6_88065996,acen,QTL,DTA,all
chr6,6800000,7430000,S6_130527829,acen,QTL,DTA,all
chr7,6090000,7480000,S7_111802231,acen,QTL,DTA,all
chr7,13830000,14280000,S7_174794655,acen,QTL,DTA,all
chr8,6720000,6930000,S8_123512155,acen,QTL,DTA,all
chr9,7140000,7559999,S9_114160249,acen,QTL,DTA,all
chr10,5330000,5610000,S10_95126088,acen,QTL,DTA,all
chr7,5960000,6640000,7@63.1,acen,QTL,ASI,W22TIL01
chr9,8220000,9000000,9@86.7,acen,QTL,ASI,W22TIL01
chr4,5310000,6880000,4@58.9,acen,QTL,ASI,W22TIL03
chr1,10670000,11460000,1@111.1,acen,QTL,ASI,W22TIL11
chr2,9580000,10720000,2@104.0,acen,QTL,ASI,W22TIL11
chr1,10800000,11430000,1@110.7,acen,QTL,ASI,W22TIL14
chr1,12020000,13400000,1@129.2,acen,QTL,ASI,W22TIL25
chr2,4079999,4560000,2@42.9,acen,QTL,ASI,W22TIL25
chr3,9450000,9990000,3@96.8,acen,QTL,ASI,W22TIL25
chr8,12350000,13890000,8@129.6,acen,QTL,ASI,W22TIL25
chr1,10930000,11410000,S1_234121590,acen,QTL,ASI,all
chr2,5780000,8680000,S2_54987202,acen,QTL,ASI,all
chr3,1560000,3990000,S3_6519021,acen,QTL,ASI,all
chr3,8890000,10000000,S3_176332401,acen,QTL,ASI,all
chr4,5610000,7580000,S4_74639721,acen,QTL,ASI,all
chr8,11050000,13300000,S8_170277737,acen,QTL,ASI,all
chr9,5500000,6700000,S9_76796966,acen,QTL,ASI,all
chr9,8300000,9180000,S9_136904615,acen,QTL,ASI,all
chr10,4970000,5760000,S10_91357728,acen,QTL,ASI,all
chr1,15736244,15897410,PhyA1,transduction,leaf,DTA,W22TIL01
chr1,2779622,2940969,PhyB1,transduction,leaf,DTA,W22TIL01
chr1,16185688,16346654,PhyC1,transduction,leaf,DTA,W22TIL01
chr5,735666,921078,PhyA2,transduction,leaf,DTA,W22TIL01
chr5,498457,683689,PhyC2,transduction,leaf,DTA,W22TIL01
chr9,13035258,13233084,PhyB2,transduction,leaf,DTA,W22TIL01
chr9,3436149,3633777,COL1,photoperiod,leaf,DTA,W22TIL01
chr10,6875400,7054407,ZmCCT,photoperiod,leaf,DTA,W22TIL01
chr9,13376079,13574059,ZmPRR73,clock,leaf,DTA,W22TIL01
chr8,1638466,1819372,GIGZ1A,clock,leaf,DTA,W22TIL01
chr3,565210,748198,GIGZ1B,clock,leaf,DTA,W22TIL01
chr10,5673525,5852408,ZmCCA1,clock,leaf,DTA,W22TIL01
chr10,5673525,5852408,ZmLHY1,clock,leaf,DTA,W22TIL01
chr4,11066732,11216690,ZmFKF1a,clock,leaf,DTA,W22TIL01
chr4,1588694,7861979,ZmLHY2,clock,leaf,DTA,W22TIL01
chr4,7440062,7590008,ZmTOC1,clock,leaf,DTA,W22TIL01
chr2,16770824,16961621,ZmFKF1b,clock,leaf,DTA,W22TIL01
chr2,16973630,17340444,ZmHD6,clock,leaf,DTA,W22TIL01
chr1,13981408,14142273,ID1,autonomous,leaf,DTA,W22TIL01
chr3,11055601,11238514,ZmLD,autonomous,leaf,DTA,W22TIL01
chr10,892654,6487262,LDL1,autonomous,leaf,DTA,W22TIL01
chr2,11067494,13738902,FCA,autonomous,leaf,DTA,W22TIL01
chr7,13543816,13733342,DLF1,integrator_clock,leaf,DTA,W22TIL01
chr7,13541344,13543816,ZmPRR37,clock,leaf,DTA,W22TIL01
chr8,13053787,13234326,ZmHy2,transduction_clock,leaf,DTA,W22TIL01
chr8,11576698,13053787,LUX,clock,leaf,DTA,W22TIL01
chr8,13234326,13257884,LUX,clock,leaf,DTA,W22TIL01
chr8,10003143,10183505,ZCN8,photoperiod,leaf,DTA,W22TIL01
chr9,9311989,9509518,GL15,aging,leaf,DTA,W22TIL01
chr3,401338,583524,miR156,aging,leaf,DTA,W22TIL01
chr3,10208964,10391191,miR172,aging,leaf,DTA,W22TIL01
chr1,19608771,19809598,PhyA1,transduction,leaf,DTA,W22TIL03
chr1,3463659,3664712,PhyB1,transduction,leaf,DTA,W22TIL03
chr1,20168819,20369397,PhyC1,transduction,leaf,DTA,W22TIL03
chr5,797023,997898,PhyA2,transduction,leaf,DTA,W22TIL03
chr5,540030,740711,PhyC2,transduction,leaf,DTA,W22TIL03
chr9,13071661,13270039,PhyB2,transduction,leaf,DTA,W22TIL03
chr9,3445745,3643924,COL1,photoperiod,leaf,DTA,W22TIL03
chr10,7699421,7899882,ZmCCT,photoperiod,leaf,DTA,W22TIL03
chr9,13413434,13611966,ZmPRR73,clock,leaf,DTA,W22TIL03
chr8,1820717,2021746,GIGZ1A,clock,leaf,DTA,W22TIL03
chr3,558403,739188,GIGZ1B,clock,leaf,DTA,W22TIL03
chr10,6353501,6553823,ZmCCA1,clock,leaf,DTA,W22TIL03
chr10,6353501,6553823,ZmLHY1,clock,leaf,DTA,W22TIL03
chr4,14792238,14992678,ZmFKF1a,clock,leaf,DTA,W22TIL03
chr4,2123513,10508636,ZmLHY2,clock,leaf,DTA,W22TIL03
chr4,9944686,10145109,ZmTOC1,clock,leaf,DTA,W22TIL03
chr2,17534925,17734415,ZmFKF1b,clock,leaf,DTA,W22TIL03
chr2,17746971,18130498,ZmHD6,clock,leaf,DTA,W22TIL03
chr1,17422088,17622540,ID1,autonomous,leaf,DTA,W22TIL03
chr3,10922467,11103177,ZmLD,autonomous,leaf,DTA,W22TIL03
chr10,999640,7264764,LDL1,autonomous,leaf,DTA,W22TIL03
chr2,11571744,14364865,FCA,autonomous,leaf,DTA,W22TIL03
chr7,13776757,13969542,DLF1,integrator_clock,leaf,DTA,W22TIL03
chr7,13774242,13776757,ZmPRR37,clock,leaf,DTA,W22TIL03
chr8,14505793,14706414,ZmHy2,transduction_clock,leaf,DTA,W22TIL03
chr8,12864404,14505793,LUX,clock,leaf,DTA,W22TIL03
chr8,14706414,14732592,LUX,clock,leaf,DTA,W22TIL03
chr8,11115818,11316242,ZCN8,photoperiod,leaf,DTA,W22TIL03
chr9,9337994,9536075,GL15,aging,leaf,DTA,W22TIL03
chr3,396505,576497,miR156,aging,leaf,DTA,W22TIL03
chr3,10086025,10266058,miR172,aging,leaf,DTA,W22TIL03
chr1,14855994,15008145,PhyA1,transduction,leaf,DTA,W22TIL11
chr1,2624136,2776458,PhyB1,transduction,leaf,DTA,W22TIL11
chr1,15280298,15432260,PhyC1,transduction,leaf,DTA,W22TIL11
chr5,684697,857262,PhyA2,transduction,leaf,DTA,W22TIL11
chr5,463922,636321,PhyC2,transduction,leaf,DTA,W22TIL11
chr9,11456371,11630236,PhyB2,transduction,leaf,DTA,W22TIL11
chr9,3019948,3193638,COL1,photoperiod,leaf,DTA,W22TIL11
chr10,6775955,6952373,ZmCCT,photoperiod,leaf,DTA,W22TIL11
chr9,11755911,11929910,ZmPRR73,clock,leaf,DTA,W22TIL11
chr8,1449130,1609132,GIGZ1A,clock,leaf,DTA,W22TIL11
chr3,570338,754987,GIGZ1B,clock,leaf,DTA,W22TIL11
chr10,5591464,5767759,ZmCCA1,clock,leaf,DTA,W22TIL11
chr10,5591464,5767759,ZmLHY1,clock,leaf,DTA,W22TIL11
chr4,12608704,12779557,ZmFKF1a,clock,leaf,DTA,W22TIL11
chr4,1810053,8957419,ZmLHY2,clock,leaf,DTA,W22TIL11
chr4,8476716,8647554,ZmTOC1,clock,leaf,DTA,W22TIL11
chr2,15330190,15504597,ZmFKF1b,clock,leaf,DTA,W22TIL11
chr2,15515575,15850879,ZmHD6,clock,leaf,DTA,W22TIL11
chr1,13199320,13351186,ID1,autonomous,leaf,DTA,W22TIL11
chr3,11155914,11340487,ZmLD,autonomous,leaf,DTA,W22TIL11
chr10,879743,6393430,LDL1,autonomous,leaf,DTA,W22TIL11
chr2,10116783,12558713,FCA,autonomous,leaf,DTA,W22TIL11
chr7,13296920,13482991,DLF1,integrator_clock,leaf,DTA,W22TIL11
chr7,13294493,13296920,ZmPRR37,clock,leaf,DTA,W22TIL11
chr8,11545337,11705013,ZmHy2,transduction_clock,leaf,DTA,W22TIL11
chr8,10238935,11545337,LUX,clock,leaf,DTA,W22TIL11
chr8,11705013,11725849,LUX,clock,leaf,DTA,W22TIL11
chr8,8847214,9006734,ZCN8,photoperiod,leaf,DTA,W22TIL11
chr9,8184081,8357684,GL15,aging,leaf,DTA,W22TIL11
chr3,404979,588818,miR156,aging,leaf,DTA,W22TIL11
chr3,10301595,10485475,miR172,aging,leaf,DTA,W22TIL11
chr1,15766125,15927597,PhyA1,transduction,leaf,DTA,W22TIL14
chr1,2784900,2946554,PhyB1,transduction,leaf,DTA,W22TIL14
chr1,16216423,16377695,PhyC1,transduction,leaf,DTA,W22TIL14
chr5,611382,765470,PhyA2,transduction,leaf,DTA,W22TIL14
chr5,414247,568186,PhyC2,transduction,leaf,DTA,W22TIL14
chr9,10438521,10596939,PhyB2,transduction,leaf,DTA,W22TIL14
chr9,2751638,2909897,COL1,photoperiod,leaf,DTA,W22TIL14
chr10,6011251,6167759,ZmCCT,photoperiod,leaf,DTA,W22TIL14
chr9,10711448,10869988,ZmPRR73,clock,leaf,DTA,W22TIL14
chr8,1513693,1680823,GIGZ1A,clock,leaf,DTA,W22TIL14
chr3,512491,678411,GIGZ1B,clock,leaf,DTA,W22TIL14
chr10,4960436,5116836,ZmCCA1,clock,leaf,DTA,W22TIL14
chr10,4960436,5116836,ZmLHY1,clock,leaf,DTA,W22TIL14
chr4,13437987,13620077,ZmFKF1a,clock,leaf,DTA,W22TIL14
chr4,1929102,9546555,ZmLHY2,clock,leaf,DTA,W22TIL14
chr4,9034236,9216310,ZmTOC1,clock,leaf,DTA,W22TIL14
chr2,14807213,14975670,ZmFKF1b,clock,leaf,DTA,W22TIL14
chr2,14986273,15310139,ZmHD6,clock,leaf,DTA,W22TIL14
chr1,14007957,14169127,ID1,autonomous,leaf,DTA,W22TIL14
chr3,10024410,10190262,ZmLD,autonomous,leaf,DTA,W22TIL14
chr10,780459,5671897,LDL1,autonomous,leaf,DTA,W22TIL14
chr2,9771657,12130283,FCA,autonomous,leaf,DTA,W22TIL14
chr7,12400047,12573567,DLF1,integrator_clock,leaf,DTA,W22TIL14
chr7,12397783,12400047,ZmPRR37,clock,leaf,DTA,W22TIL14
chr8,12059713,12226504,ZmHy2,transduction_clock,leaf,DTA,W22TIL14
chr8,10695108,12059713,LUX,clock,leaf,DTA,W22TIL14
chr8,12226504,12248267,LUX,clock,leaf,DTA,W22TIL14
chr8,9241382,9408009,ZCN8,photoperiod,leaf,DTA,W22TIL14
chr9,7456960,7615139,GL15,aging,leaf,DTA,W22TIL14
chr3,363904,529096,miR156,aging,leaf,DTA,W22TIL14
chr3,9256741,9421971,miR172,aging,leaf,DTA,W22TIL14
chr1,14982526,15135972,PhyA1,transduction,leaf,DTA,W22TIL25
chr1,2646487,2800106,PhyB1,transduction,leaf,DTA,W22TIL25
chr1,15410443,15563699,PhyC1,transduction,leaf,DTA,W22TIL25
chr5,687379,860620,PhyA2,transduction,leaf,DTA,W22TIL25
chr5,465739,638813,PhyC2,transduction,leaf,DTA,W22TIL25
chr9,13239254,13440176,PhyB2,transduction,leaf,DTA,W22TIL25
chr9,3489924,3690644,COL1,photoperiod,leaf,DTA,W22TIL25
chr10,7343075,7534258,ZmCCT,photoperiod,leaf,DTA,W22TIL25
chr9,13585409,13786487,ZmPRR73,clock,leaf,DTA,W22TIL25
chr8,1610756,1788603,GIGZ1A,clock,leaf,DTA,W22TIL25
chr3,620675,821620,GIGZ1B,clock,leaf,DTA,W22TIL25
chr10,6059447,6250498,ZmCCA1,clock,leaf,DTA,W22TIL25
chr10,6059447,6250498,ZmLHY1,clock,leaf,DTA,W22TIL25
chr4,14441503,14637191,ZmFKF1a,clock,leaf,DTA,W22TIL25
chr4,2073163,10259468,ZmLHY2,clock,leaf,DTA,W22TIL25
chr4,9708890,9904561,ZmTOC1,clock,leaf,DTA,W22TIL25
chr2,17629692,17830260,ZmFKF1b,clock,leaf,DTA,W22TIL25
chr2,17842884,18228483,ZmHD6,clock,leaf,DTA,W22TIL25
chr1,13311741,13464901,ID1,autonomous,leaf,DTA,W22TIL25
chr3,12140510,12341373,ZmLD,autonomous,leaf,DTA,W22TIL25
chr10,953374,6928535,LDL1,autonomous,leaf,DTA,W22TIL25
chr2,11634283,14442499,FCA,autonomous,leaf,DTA,W22TIL25
chr7,14319332,14519710,DLF1,integrator_clock,leaf,DTA,W22TIL25
chr7,14316718,14319332,ZmPRR37,clock,leaf,DTA,W22TIL25
chr8,12833021,13010507,ZmHy2,transduction_clock,leaf,DTA,W22TIL25
chr8,11380913,12833021,LUX,clock,leaf,DTA,W22TIL25
chr8,13010507,13033666,LUX,clock,leaf,DTA,W22TIL25
chr8,9833969,10011281,ZCN8,photoperiod,leaf,DTA,W22TIL25
chr9,9457718,9658338,GL15,aging,leaf,DTA,W22TIL25
chr3,440722,640786,miR156,aging,leaf,DTA,W22TIL25
chr3,11210791,11410900,miR172,aging,leaf,DTA,W22TIL25
chr1,19608771,19809598,PhyA1,transduction,leaf,DTA,all
chr1,3463659,3664712,PhyB1,transduction,leaf,DTA,all
chr1,20168819,20369397,PhyC1,transduction,leaf,DTA,all
chr5,797023,997898,PhyA2,transduction,leaf,DTA,all
chr5,540030,740711,PhyC2,transduction,leaf,DTA,all
chr9,13239254,13440176,PhyB2,transduction,leaf,DTA,all
chr9,3489924,3690644,COL1,photoperiod,leaf,DTA,all
chr10,7699421,7899882,ZmCCT,photoperiod,leaf,DTA,all
chr9,13585409,13786487,ZmPRR73,clock,leaf,DTA,all
chr8,1820717,2021746,GIGZ1A,clock,leaf,DTA,all
chr3,621234,822360,GIGZ1B,clock,leaf,DTA,all
chr10,6353501,6553823,ZmCCA1,clock,leaf,DTA,all
chr10,6353501,6553823,ZmLHY1,clock,leaf,DTA,all
chr4,14792238,14992678,ZmFKF1a,clock,leaf,DTA,all
chr4,2123513,10508636,ZmLHY2,clock,leaf,DTA,all
chr4,9944686,10145109,ZmTOC1,clock,leaf,DTA,all
chr2,17629692,17830260,ZmFKF1b,clock,leaf,DTA,all
chr2,17842884,18228483,ZmHD6,clock,leaf,DTA,all
chr1,17422088,17622540,ID1,autonomous,leaf,DTA,all
chr3,12151435,12352478,ZmLD,autonomous,leaf,DTA,all
chr10,999640,7264764,LDL1,autonomous,leaf,DTA,all
chr2,11634283,14442499,FCA,autonomous,leaf,DTA,all
chr7,14319332,14519710,DLF1,integrator_clock,leaf,DTA,all
chr7,14316718,14319332,ZmPRR37,clock,leaf,DTA,all
chr8,14505793,14706414,ZmHy2,transduction_clock,leaf,DTA,all
chr8,12864404,14505793,LUX,clock,leaf,DTA,all
chr8,14706414,14732592,LUX,clock,leaf,DTA,all
chr8,11115818,11316242,ZCN8,photoperiod,leaf,DTA,all
chr9,9457718,9658338,GL15,aging,leaf,DTA,all
chr3,441119,641363,miR156,aging,leaf,DTA,all
chr3,11220879,11421168,miR172,aging,leaf,DTA,all
chr8,11576698,13257884,VGT1,autonomous,SAM,DTA,W22TIL01
chr1,15555137,15715977,D8,GA,SAM,DTA,W22TIL01
chr1,15850210,16011331,KN1,GA,SAM,DTA,W22TIL01
chr5,876346,1061420,D9,GA,SAM,DTA,W22TIL01
chr6,9617159,9808274,GA2ox1,GA,SAM,DTA,W22TIL01
chr1,16194696,16357086,ZMM4,integrator,SAM,DTA,W22TIL01
chr9,14523333,14623914,ZMM5,integrator,SAM,DTA,W22TIL01
chr8,10718252,10898781,ZmRAP2.7,integrator,SAM,DTA,W22TIL01
chr10,10267598,10446642,ZFL1,integrator,SAM,DTA,W22TIL01
chr4,5659891,5809749,ZCN2,integrator,SAM,DTA,W22TIL01
chr2,17244428,17340444,ZAP1,integrator,SAM,DTA,W22TIL01
chr2,863848,1054816,ZFL2,integrator,SAM,DTA,W22TIL01
chr7,72817,263096,ZAP1b,integrator,SAM,DTA,W22TIL01
chr8,10003143,10183505,ZCN8,photoperiod,SAM,DTA,W22TIL01
chr9,9311989,9509518,GL15,aging,SAM,DTA,W22TIL01
chr3,401338,583524,miR156,aging,SAM,DTA,W22TIL01
chr3,10208964,10391191,miR172,aging,SAM,DTA,W22TIL01
chr8,12864404,14732592,VGT1,autonomous,SAM,DTA,W22TIL03
chr1,19383095,19583517,D8,GA,SAM,DTA,W22TIL03
chr1,19750783,19951554,KN1,GA,SAM,DTA,W22TIL03
chr5,949436,1149945,D9,GA,SAM,DTA,W22TIL03
chr6,10083740,10284127,GA2ox1,GA,SAM,DTA,W22TIL03
chr1,20180043,20382396,ZMM4,integrator,SAM,DTA,W22TIL03
chr9,14563891,14664753,ZMM5,integrator,SAM,DTA,W22TIL03
chr8,11910471,12111080,ZmRAP2.7,integrator,SAM,DTA,W22TIL03
chr10,11498176,11698678,ZFL1,integrator,SAM,DTA,W22TIL03
chr4,7565238,7765544,ZCN2,integrator,SAM,DTA,W22TIL03
chr2,18030107,18130498,ZAP1,integrator,SAM,DTA,W22TIL03
chr2,903206,1102875,ZFL2,integrator,SAM,DTA,W22TIL03
chr7,74069,267621,ZAP1b,integrator,SAM,DTA,W22TIL03
chr8,11115818,11316242,ZCN8,photoperiod,SAM,DTA,W22TIL03
chr9,9337994,9536075,GL15,aging,SAM,DTA,W22TIL03
chr3,396505,576497,miR156,aging,SAM,DTA,W22TIL03
chr3,10086025,10266058,miR172,aging,SAM,DTA,W22TIL03
chr8,10238935,11725849,VGT1,autonomous,SAM,DTA,W22TIL11
chr1,14685018,14836861,D8,GA,SAM,DTA,W22TIL11
chr1,14963586,15115694,KN1,GA,SAM,DTA,W22TIL11
chr5,815630,987881,D9,GA,SAM,DTA,W22TIL11
chr6,9224757,9408074,GA2ox1,GA,SAM,DTA,W22TIL11
chr1,15288801,15442108,ZMM4,integrator,SAM,DTA,W22TIL11
chr9,12764203,12852602,ZMM5,integrator,SAM,DTA,W22TIL11
chr8,9479688,9639355,ZmRAP2.7,integrator,SAM,DTA,W22TIL11
chr10,10119088,10295542,ZFL1,integrator,SAM,DTA,W22TIL11
chr4,6448507,6619245,ZCN2,integrator,SAM,DTA,W22TIL11
chr2,15763111,15850879,ZAP1,integrator,SAM,DTA,W22TIL11
chr2,789642,964206,ZFL2,integrator,SAM,DTA,W22TIL11
chr7,71490,258300,ZAP1b,integrator,SAM,DTA,W22TIL11
chr8,8847214,9006734,ZCN8,photoperiod,SAM,DTA,W22TIL11
chr9,8184081,8357684,GL15,aging,SAM,DTA,W22TIL11
chr3,404979,588818,miR156,aging,SAM,DTA,W22TIL11
chr3,10301595,10485475,miR172,aging,SAM,DTA,W22TIL11
chr8,10695108,12248267,VGT1,autonomous,SAM,DTA,W22TIL14
chr1,15584674,15745820,D8,GA,SAM,DTA,W22TIL14
chr1,15880308,16041735,KN1,GA,SAM,DTA,W22TIL14
chr5,728296,882103,D9,GA,SAM,DTA,W22TIL14
chr6,9366301,9552430,GA2ox1,GA,SAM,DTA,W22TIL14
chr1,16225448,16388146,ZMM4,integrator,SAM,DTA,W22TIL14
chr9,11630158,11710703,ZMM5,integrator,SAM,DTA,W22TIL14
chr8,9902034,10068815,ZmRAP2.7,integrator,SAM,DTA,W22TIL14
chr10,8977094,9133634,ZFL1,integrator,SAM,DTA,W22TIL14
chr4,6872629,7054597,ZCN2,integrator,SAM,DTA,W22TIL14
chr2,15225365,15310139,ZAP1,integrator,SAM,DTA,W22TIL14
chr2,762704,931313,ZFL2,integrator,SAM,DTA,W22TIL14
chr7,66668,240877,ZAP1b,integrator,SAM,DTA,W22TIL14
chr8,9241382,9408009,ZCN8,photoperiod,SAM,DTA,W22TIL14
chr9,7456960,7615139,GL15,aging,SAM,DTA,W22TIL14
chr3,363904,529096,miR156,aging,SAM,DTA,W22TIL14
chr3,9256741,9421971,miR172,aging,SAM,DTA,W22TIL14
chr8,11380913,13033666,VGT1,autonomous,SAM,DTA,W22TIL25
chr1,14810093,14963230,D8,GA,SAM,DTA,W22TIL25
chr1,15091033,15244437,KN1,GA,SAM,DTA,W22TIL25
chr5,818825,991750,D9,GA,SAM,DTA,W22TIL25
chr6,10094828,10295435,GA2ox1,GA,SAM,DTA,W22TIL25
chr1,15419019,15573632,ZMM4,integrator,SAM,DTA,W22TIL25
chr9,14750616,14852771,ZMM5,integrator,SAM,DTA,W22TIL25
chr8,10536985,10714460,ZmRAP2.7,integrator,SAM,DTA,W22TIL25
chr10,10966015,11157238,ZFL1,integrator,SAM,DTA,W22TIL25
chr4,7385860,7581417,ZCN2,integrator,SAM,DTA,W22TIL25
chr2,18127550,18228483,ZAP1,integrator,SAM,DTA,W22TIL25
chr2,908088,1108836,ZFL2,integrator,SAM,DTA,W22TIL25
chr7,76987,278161,ZAP1b,integrator,SAM,DTA,W22TIL25
chr8,9833969,10011281,ZCN8,photoperiod,SAM,DTA,W22TIL25
chr9,9457718,9658338,GL15,aging,SAM,DTA,W22TIL25
chr3,440722,640786,miR156,aging,SAM,DTA,W22TIL25
chr3,11210791,11410900,miR172,aging,SAM,DTA,W22TIL25
chr8,12864404,14732592,VGT1,autonomous,SAM,DTA,all
chr1,19383095,19583517,D8,GA,SAM,DTA,all
chr1,19750783,19951554,KN1,GA,SAM,DTA,all
chr5,949436,1149945,D9,GA,SAM,DTA,all
chr6,10094828,10295435,GA2ox1,GA,SAM,DTA,all
chr1,20180043,20382396,ZMM4,integrator,SAM,DTA,all
chr9,14750616,14852771,ZMM5,integrator,SAM,DTA,all
chr8,11910471,12111080,ZmRAP2.7,integrator,SAM,DTA,all
chr10,11498176,11698678,ZFL1,integrator,SAM,DTA,all
chr4,7565238,7765544,ZCN2,integrator,SAM,DTA,all
chr2,18127550,18228483,ZAP1,integrator,SAM,DTA,all
chr2,908088,1108836,ZFL2,integrator,SAM,DTA,all
chr7,76987,278161,ZAP1b,integrator,SAM,DTA,all
chr8,11115818,11316242,ZCN8,photoperiod,SAM,DTA,all
chr9,9457718,9658338,GL15,aging,SAM,DTA,all
chr3,441119,641363,miR156,aging,SAM,DTA,all
chr3,11220879,11421168,miR172,aging,SAM,DTA,all
chr1,8949000,8951000,1,acen,wisser_et_al,DTA,all
chr1,13540000,13775000,2,acen,wisser_et_al,DTA,all
chr1,16053000,16240000,3,acen,wisser_et_al,DTA,all
chr2,7353000,7370999,4,acen,wisser_et_al,DTA,all
chr2,8251000,8259000,5,acen,wisser_et_al,DTA,all
chr2,10933000,11076000,6,acen,wisser_et_al,DTA,all
chr3,5900000,5927000,7,acen,wisser_et_al,DTA,all
chr4,5119000,5215000,8,acen,wisser_et_al,DTA,all
chr4,5785000,5808000,9,acen,wisser_et_al,DTA,all
chr4,9849000,10235000,10,acen,wisser_et_al,DTA,all
chr4,11431000,11466000,11,acen,wisser_et_al,DTA,all
chr5,6455000,6531999,12,acen,wisser_et_al,DTA,all
chr5,6844000,6927000,13,acen,wisser_et_al,DTA,all
chr5,7052000,7062000,14,acen,wisser_et_al,DTA,all
chr5,7094000,7122000,15,acen,wisser_et_al,DTA,all
chr5,7181000,7220000,16,acen,wisser_et_al,DTA,all
chr5,7248999,7291000,17,acen,wisser_et_al,DTA,all
chr6,5193000,5259000,18,acen,wisser_et_al,DTA,all
chr7,8064000,8270000,19,acen,wisser_et_al,DTA,all
chr8,4541000,5004000,20,acen,wisser_et_al,DTA,all
chr9,4300000,4340000,21,acen,wisser_et_al,DTA,all
