chromosome,name,start,end
1,S1_10998969,2093367,2109035
1,S1_11112751,2109035,2156282
1,S1_11242832,2156282,2187865
1,S1_11476389,2187865,2187870
1,S1_11476884,2187870,2187874
1,S1_11481124,2187874,2211671
1,S1_11531904,2211671,2235467
1,S1_11946916,2235467,2235472
1,S1_11946996,2235472,2235476
1,S1_12152643,2235476,2239474
1,S1_12166037,2239474,2247484
1,S1_12166782,2247484,2255530
1,S1_12169774,2255530,2259565
1,S1_12209953,2259565,2263722
1,S1_12210891,2263722,2272059
1,S1_12243958,2272059,2280451
1,S1_12244153,2280451,2284663
1,S1_12312768,2284663,2290869
1,S1_12338409,2290869,2303292
1,S1_12344374,2303292,2309513
1,S1_12347877,2309513,2309517
1,S1_12352631,2309517,2309521
1,S1_12352857,2309521,2330570
1,S1_12355871,2330570,2351619
1,S1_12357243,2351619,2356416
1,S1_12398016,2356416,2366000
1,S1_12436754,2366000,2370791
1,S1_12441345,2370791,2402716
1,S1_12463631,2402716,2434640
1,S1_12486750,2434640,2434645
1,S1_12486892,2434645,2434649
1,S1_12498912,2434649,2447225
1,S1_12509920,2447225,2459802
1,S1_12663168,2459802,2459806
1,S1_12823121,2459806,2511321
1,S1_12851180,2511321,2562837
1,S1_12852278,2562837,2562841
1,S1_12852944,2562841,2567057
1,S1_12853931,2567057,2575493
1,S1_12944255,2575493,2583942
1,S1_12944898,2583942,2600939
1,S1_12946667,2600939,2613711
1,S1_12990921,2613711,2620119
1,S1_13093954,2620119,2632982
1,S1_13372498,2632982,2639441
1,S1_13536883,2639441,2643853
1,S1_13536949,2643853,2652642
1,S1_13539829,2652642,2661374
1,S1_13595453,2661374,2665728
1,S1_13643091,2665728,2689389
1,S1_13645438,2689389,2736216
1,S1_13684460,2736216,2759386
1,S1_13689603,2759386,2759390
1,S1_13740549,2759390,2769444
1,S1_13788997,2769444,2789435
1,S1_14031970,2789435,2809203
1,S1_14032198,2809203,2819034
1,S1_14104201,2819034,2823015
1,S1_14105286,2823015,2830994
1,S1_14164353,2830994,2839022
1,S1_14165072,2839022,2843050
1,S1_14638094,2843050,2848977
1,S1_14639715,2848977,2860810
1,S1_14780391,2860810,2866720
1,S1_14810804,2866720,2870642
1,S1_14851161,2870642,2878465
1,S1_14851446,2878465,2886250
1,S1_14853047,2886250,2890136
1,S1_14942338,2890136,2895964
1,S1_14943288,2895964,2907631
1,S1_14959113,2907631,2923941
1,S1_14959764,2923941,2944860
1,S1_14960382,2944860,2965768
1,S1_14961149,2965768,2976227
1,S1_15005542,2976227,2976232
1,S1_15006738,2976232,2991990
1,S1_15067854,2991990,3007748
1,S1_15075522,3007748,3019666
1,S1_15143038,3019666,3031583
1,S1_15176463,3031583,3056025
1,S1_15318304,3056025,3080467
1,S1_15779598,3080467,3105217
1,S1_15807528,3105217,3142290
1,S1_15809326,3142290,3154618
1,S1_16045315,3154618,3154623
1,S1_16045504,3154623,3173181
1,S1_16047137,3173181,3210025
1,S1_16067724,3210025,3228314
1,S1_16178909,3228314,3234405
1,S1_16333010,3234405,3246527
1,S1_16377974,3246527,3252562
1,S1_16450351,3252562,3264284
1,S1_16468793,3264284,3287658
1,S1_16470504,3287658,3311017
1,S1_16580619,3311017,3322725
1,S1_16801804,3322725,3334365
1,S1_16822896,3334365,3346005
1,S1_16825995,3346005,3357486
1,S1_16948622,3357486,3368967
1,S1_16950794,3368967,3368971
1,S1_16951416,3368971,3368975
1,S1_16953663,3368975,3403071
1,S1_17325888,3403071,3437166
1,S1_17353752,3437166,3437171
1,S1_17492494,3437171,3437175
1,S1_17494043,3437175,3437179
1,S1_17681542,3437179,3470599
1,S1_17695500,3470599,3504020
1,S1_17713913,3504020,3504024
1,S1_17882545,3504024,3504028
1,S1_17886196,3504028,3525755
1,S1_17959598,3525755,3551028
1,S1_17963080,3551028,3558132
1,S1_17964305,3558132,3565248
1,S1_17964457,3565248,3579617
1,S1_18128981,3579617,3595976
1,S1_18189782,3595976,3607125
1,S1_18189857,3607125,3612726
1,S1_18624217,3612726,3623923
1,S1_18630302,3623923,3635120
1,S1_18641792,3635120,3646443
1,S1_18697514,3646443,3657766
1,S1_18839144,3657766,3657771
1,S1_18888981,3657771,3680591
1,S1_18977637,3680591,3703412
1,S1_18980219,3703412,3703414
1,S1_19260265,3703414,3703416
1,S1_19260411,3703416,3703421
1,S1_19263060,3703421,3726448
1,S1_19295916,3726448,3749476
1,S1_19328611,3749476,3749478
1,S1_19328826,3749478,3749480
1,S1_19348057,3749480,3760934
1,S1_19476270,3760934,3772388
1,S1_19560393,3772388,3783635
1,S1_19633901,3783635,3794882
1,S1_19641641,3794882,3806003
1,S1_19642256,3806003,3817123
1,S1_19911700,3817123,3828123
1,S1_19972900,3828123,3839123
1,S1_19973080,3839123,3846507
1,S1_19978750,3846507,3861225
1,S1_19979192,3861225,3875847
1,S1_19979751,3875847,3883134
1,S1_19979829,3883134,3883138
1,S1_19990072,3883138,3883143
1,S1_20096338,3883143,3888475
1,S1_20113813,3888475,3899147
1,S1_20113962,3899147,3904491
1,S1_21471998,3904491,3904498
1,S1_21473288,3904498,3904508
1,S1_21543957,3904508,3918792
1,S1_21544036,3918792,3947569
1,S1_21602112,3947569,3976782
1,S1_21694270,3976782,3991501
1,S1_21699505,3991501,3991503
1,S1_21713321,3991503,3991503
1,S1_21713441,3991503,3991505
1,S1_21721398,3991505,4008177
1,S1_21757805,4008177,4041219
1,S1_21758984,4041219,4089570
1,S1_22068971,4089570,4121551
1,S1_22069443,4121551,4121555
1,S1_22439668,4121555,4126848
1,S1_22497974,4126848,4137385
1,S1_22499054,4137385,4142635
1,S1_22875943,4142635,4147838
1,S1_22876744,4147838,4158201
1,S1_22889156,4158201,4173573
1,S1_22890608,4173573,4194120
1,S1_22976136,4194120,4204459
1,S1_22976362,4204459,4204463
1,S1_23047091,4204463,4214889
1,S1_23047834,4214889,4225314
1,S1_23065758,4225314,4235850
1,S1_23110666,4235850,4246386
1,S1_23193075,4246386,4249918
1,S1_23220335,4249918,4256975
1,S1_23230211,4256975,4264019
1,S1_23234114,4264019,4267540
1,S1_23244263,4267540,4289033
1,S1_23557922,4289033,4310525
1,S1_23616847,4310525,4321265
1,S1_23923548,4321265,4332006
1,S1_24308521,4332006,4335637
1,S1_24408146,4335637,4342919
1,S1_24583279,4342919,4350243
1,S1_24583378,4350243,4353917
1,S1_24599464,4353917,4364947
1,S1_24600188,4364947,4387052
1,S1_24670736,4387052,4398131
1,S1_24671153,4398131,4398136
1,S1_24675535,4398136,4398140
1,S1_24678908,4398140,4403692
1,S1_24735858,4403692,4414841
1,S1_24739912,4414841,4424130
1,S1_24743799,4424130,4431519
1,S1_24778913,4431519,4438918
1,S1_24931653,4438918,4442622
1,S1_25287625,4442622,4453672
1,S1_25371849,4453672,4464722
1,S1_25387676,4464722,4475698
1,S1_25411005,4475698,4486674
1,S1_25416030,4486674,4497602
1,S1_25424351,4497602,4513958
1,S1_25626292,4513958,4524857
1,S1_25705024,4524857,4530327
1,S1_26445241,4530327,4541425
1,S1_26525724,4541425,4560259
1,S1_26528024,4560259,4575712
1,S1_26575822,4575712,4583429
1,S1_26578140,4583429,4613157
1,S1_26684482,4613157,4642886
1,S1_26691848,4642886,4642890
1,S1_26692432,4642890,4642895
1,S1_26914486,4642895,4646487
1,S1_26914877,4646487,4653662
1,S1_26948708,4653662,4660826
1,S1_26951525,4660826,4664406
1,S1_27124012,4664406,4669773
1,S1_27133748,4669773,4680490
1,S1_27140851,4680490,4685846
1,S1_27141593,4685846,4707620
1,S1_27173283,4707620,4729395
1,S1_28459488,4729395,4751807
1,S1_28522574,4751807,4774219
1,S1_28596743,4774219,4774223
1,S1_28798077,4774223,4778001
1,S1_28861775,4778001,4785557
1,S1_28962022,4785557,4793124
1,S1_28962533,4793124,4796913
1,S1_28964976,4796913,4808289
1,S1_29031986,4808289,4819665
1,S1_29198033,4819665,4831041
1,S1_29241436,4831041,4864979
1,S1_29262745,4864979,4887545
1,S1_29359951,4887545,4887550
1,S1_29392148,4887550,4898673
1,S1_29512424,4898673,4909796
1,S1_29522498,4909796,4921069
1,S1_29543329,4921069,4932341
1,S1_29741466,4932341,4937999
1,S1_29787014,4937999,4949298
1,S1_29787109,4949298,4954945
1,S1_29788435,4954945,4966142
1,S1_29935725,4966142,4977339
1,S1_29936361,4977339,4981024
1,S1_29939475,4981024,4988386
1,S1_30215893,4988386,4995738
1,S1_30216426,4995738,4999413
1,S1_30279181,4999413,4999413
1,S1_30279510,4999413,4999415
1,S1_30300160,4999415,5021819
1,S1_30571359,5021819,5044222
1,S1_30612788,5044222,5044224
1,S1_31249632,5044224,5047968
1,S1_31426749,5047968,5055474
1,S1_31497344,5055474,5063014
1,S1_31501408,5063014,5066795
1,S1_31745509,5066795,5078093
1,S1_31766969,5078093,5089390
1,S1_31767573,5089390,5089395
1,S1_31767684,5089395,5111653
1,S1_31772518,5111653,5144882
1,S1_31848732,5144882,5155856
1,S1_32021431,5155856,5166929
1,S1_32052125,5166929,5178001
1,S1_32081199,5178001,5200405
1,S1_32087739,5200405,5222808
1,S1_32091283,5222808,5222812
1,S1_32091619,5222812,5245321
1,S1_32153886,5245321,5267829
1,S1_32156418,5267829,5267833
1,S1_33120255,5267833,5267838
1,S1_33120555,5267838,5267842
1,S1_33121881,5267842,5279154
1,S1_33124247,5279154,5301858
1,S1_33124634,5301858,5313254
1,S1_33162851,5313254,5313258
1,S1_33163006,5313258,5313262
1,S1_33473397,5313262,5313267
1,S1_33474278,5313267,5336399
1,S1_33528512,5336399,5359532
1,S1_33836420,5359532,5363379
1,S1_33837017,5363379,5371076
1,S1_33842113,5371076,5378785
1,S1_33884428,5378785,5382641
1,S1_34406567,5382641,5394146
1,S1_34528557,5394146,5405652
1,S1_34947856,5405652,5411461
1,S1_34950618,5411461,5423131
1,S1_34951744,5423131,5428996
1,S1_34970442,5428996,5440718
1,S1_34993569,5440718,5452438
1,S1_35190653,5452438,5456446
1,S1_35212737,5456446,5464437
1,S1_35214755,5464437,5472379
1,S1_35215057,5472379,5476341
1,S1_35770940,5476341,5480200
1,S1_35772063,5480200,5487908
1,S1_35833404,5487908,5495605
1,S1_35888095,5495605,5499453
1,S1_35888608,5499453,5522379
1,S1_36155708,5522379,5545306
1,S1_36222120,5545306,5549117
1,S1_36222263,5549117,5556707
1,S1_36346623,5556707,5564252
1,S1_36346770,5564252,5568016
1,S1_36897121,5568016,5573545
1,S1_36914733,5573545,5584637
1,S1_36915629,5584637,5590204
1,S1_36917000,5590204,5612414
1,S1_36917517,5612414,5634624
1,S1_36918425,5634624,5634629
1,S1_36973187,5634629,5634633
1,S1_36973832,5634633,5645633
1,S1_37128887,5645633,5667749
1,S1_37132626,5667749,5678870
1,S1_37871949,5678870,5684496
1,S1_37874273,5684496,5695696
1,S1_38095754,5695696,5701274
1,S1_38850938,5701274,5712250
1,S1_38868138,5712250,5723226
1,S1_38871710,5723226,5734131
1,S1_38876731,5734131,5745036
1,S1_39254399,5745036,5755870
1,S1_39255129,5755870,5766704
1,S1_39255479,5766704,5766708
1,S1_39333505,5766708,5778137
1,S1_39402316,5778137,5801127
1,S1_39601605,5801127,5824391
1,S1_39743638,5824391,5836093
1,S1_39743737,5836093,5836097
1,S1_39743823,5836097,5836101
1,S1_39747873,5836101,5836106
1,S1_40571909,5836106,5847509
1,S1_40645185,5847509,5858912
1,S1_40812382,5858912,5882493
1,S1_40913274,5882493,5906074
1,S1_40936710,5906074,5906078
1,S1_41280467,5906078,5912174
1,S1_41427995,5912174,5924417
1,S1_41428140,5924417,5930568
1,S1_42121864,5930568,5930572
1,S1_42122352,5930572,5930577
1,S1_42184173,5930577,5949181
1,S1_42354693,5949181,5986701
1,S1_42472889,5986701,6005622
1,S1_43769442,6005622,6011835
1,S1_43769876,6011835,6024198
1,S1_44170566,6024198,6030352
1,S1_44173608,6030352,6042444
1,S1_44176538,6042444,6054537
1,S1_44960183,6054537,6066778
1,S1_45002733,6066778,6079019
1,S1_45113462,6079019,6083210
1,S1_45118238,6083210,6091560
1,S1_45147834,6091560,6099856
1,S1_45147971,6099856,6103992
1,S1_45340074,6103992,6110047
1,S1_45365751,6110047,6122169
1,S1_45405165,6122169,6128241
1,S1_45425749,6128241,6140544
1,S1_45508318,6140544,6152848
1,S1_45740657,6152848,6152852
1,S1_45741402,6152852,6177365
1,S1_45768008,6177365,6201878
1,S1_45781191,6201878,6226331
1,S1_45916009,6226331,6250785
1,S1_45919018,6250785,6250789
1,S1_45920593,6250789,6259265
1,S1_45922468,6259265,6276313
1,S1_45931398,6276313,6293560
1,S1_45937983,6293560,6302237
1,S1_45938580,6302237,6302241
1,S1_45940042,6302241,6302245
1,S1_46138678,6302245,6308714
1,S1_46231265,6308714,6321587
1,S1_46405990,6321587,6327995
1,S1_46418458,6327995,6340672
1,S1_46458295,6340672,6353349
1,S1_46651579,6353349,6379466
1,S1_46685564,6379466,6405584
1,S1_46848796,6405584,6440074
1,S1_47322871,6440074,6474566
1,S1_47326828,6474566,6483521
1,S1_47331494,6483521,6501459
1,S1_47370675,6501459,6514642
1,S1_47453319,6514642,6523037
1,S1_47455391,6523037,6531445
1,S1_47455786,6531445,6535654
1,S1_47457526,6535654,6535659
1,S1_47474843,6535659,6561572
1,S1_47484210,6561572,6587485
1,S1_47504092,6587485,6587489
1,S1_47769321,6587489,6600529
1,S1_47775147,6600529,6626710
1,S1_47906350,6626710,6639855
1,S1_47995495,6639855,6639860
1,S1_48023917,6639860,6639867
1,S1_48420162,6639867,6707762
1,S1_48505459,6707762,6775655
1,S1_48506011,6775655,6775660
1,S1_48553154,6775660,6775664
1,S1_49339539,6775664,6788949
1,S1_49649566,6788949,6802235
1,S1_50861913,6802235,6802239
1,S1_50862616,6802239,6802244
1,S1_50863033,6802244,6828848
1,S1_50951450,6828848,6855452
1,S1_50951552,6855452,6855456
1,S1_50951623,6855456,6855461
1,S1_51322789,6855461,6859789
1,S1_51325116,6859789,6868465
1,S1_51397292,6868465,6877188
1,S1_51400071,6877188,6881563
1,S1_51442531,6881563,6894812
1,S1_51461771,6894812,6908060
1,S1_52253689,6908060,6935022
1,S1_52345254,6935022,6961984
1,S1_52347160,6961984,6961986
1,S1_52605537,6961986,6966471
1,S1_52605638,6966471,6975446
1,S1_52608888,6975446,6984434
1,S1_52626081,6984434,6988933
1,S1_52767906,6988933,6995684
1,S1_52797399,6995684,7009173
1,S1_53075640,7009173,7022666
1,S1_53151661,7022666,7036227
1,S1_53154825,7036227,7043038
1,S1_53154891,7043038,7043042
1,S1_53271875,7043042,7084105
1,S1_53422347,7084105,7125168
1,S1_53422491,7125168,7125172
1,S1_53423512,7125172,7125176
1,S1_53467573,7125176,7125181
1,S1_53829491,7125181,7138466
1,S1_53943907,7138466,7164904
1,S1_53950332,7164904,7178060
1,S1_54008621,7178060,7178065
1,S1_54125348,7178065,7178069
1,S1_54131700,7178069,7191355
1,S1_54186778,7191355,7204640
1,S1_56220954,7204640,7209197
1,S1_56227947,7209197,7218275
1,S1_56289277,7218275,7227292
1,S1_56307424,7227292,7238502
1,S1_56307759,7238502,7252003
1,S1_56440772,7252003,7258788
1,S1_56562107,7258788,7258790
1,S1_56562766,7258790,7258793
1,S1_56575012,7258793,7272509
1,S1_56576530,7272509,7300042
1,S1_56674584,7300042,7313863
1,S1_57840294,7313863,7320714
1,S1_58363122,7320714,7334343
1,S1_58363535,7334343,7341124
1,S1_58446559,7341124,7354625
1,S1_58450571,7354625,7368126
1,S1_58473224,7368126,7374922
1,S1_58474504,7374922,7388493
1,S1_58503737,7388493,7395271
1,S1_59467565,7395271,7402131
1,S1_59467638,7402131,7415777
1,S1_59506126,7415777,7422567
1,S1_61138920,7422567,7426983
1,S1_61257663,7426983,7435820
1,S1_61448601,7435820,7444672
1,S1_61451362,7444672,7449104
1,S1_66975722,7449104,7449106
1,S1_67077523,7449106,7449106
1,S1_67129285,7449106,7449106
1,S1_67248759,7449106,7449106
1,S1_68134687,7449106,7449106
1,S1_68136094,7449106,7449106
1,S1_68180300,7449106,7449106
1,S1_68241553,7449106,7449108
1,S1_71607611,7449108,7455859
1,S1_71795367,7455859,7469288
1,S1_72010034,7469288,7475969
1,S1_81424505,7475969,7475972
1,S1_81516106,7475972,7475972
1,S1_82023424,7475972,7475972
1,S1_82024957,7475972,7475972
1,S1_84672184,7475972,7475972
1,S1_84743892,7475972,7475972
1,S1_84744467,7475972,7475974
1,S1_96071352,7475974,7482656
1,S1_96071624,7482656,7496084
1,S1_96239912,7496084,7502835
1,S1_96313437,7502835,7502837
1,S1_96682718,7502837,7502837
1,S1_102245986,7502837,7502837
1,S1_102246568,7502837,7502837
1,S1_102893408,7502837,7502837
1,S1_102893504,7502837,7502837
1,S1_110975675,7502837,7502837
1,S1_111201454,7502837,7502837
1,S1_111983931,7502837,7502837
1,S1_111985051,7502837,7502837
1,S1_112727800,7502837,7502837
1,S1_113529933,7502837,7502837
1,S1_113530183,7502837,7502837
1,S1_154081957,7502837,7502840
1,S1_154083789,7502840,7502844
1,S1_154107227,7502844,7523814
1,S1_154571146,7523814,7565777
1,S1_154877315,7565777,7586773
1,S1_155455694,7586773,7600310
1,S1_155639388,7600310,7613848
1,S1_158301895,7613848,7620828
1,S1_158474997,7620828,7634860
1,S1_158631049,7634860,7641916
1,S1_160949021,7641916,7655752
1,S1_161025859,7655752,7669588
1,S1_162266591,7669588,7697234
1,S1_162351559,7697234,7738487
1,S1_162428319,7738487,7752099
1,S1_162467249,7752099,7752101
1,S1_162467444,7752101,7752106
1,S1_162467609,7752106,7772804
1,S1_163006680,7772804,7793499
1,S1_163318872,7793499,7814425
1,S1_163723711,7814425,7835352
1,S1_164504507,7835352,7849108
1,S1_164509216,7849108,7876740
1,S1_164628745,7876740,7890620
1,S1_164864925,7890620,7904121
1,S1_164949397,7904121,7917622
1,S1_166925190,7917622,7930940
1,S1_166926528,7930940,7944258
1,S1_170965756,7944258,7944263
1,S1_170967572,7944263,7944267
1,S1_171062391,7944267,7944271
1,S1_171171239,7944271,7984768
1,S1_171534774,7984768,8025264
1,S1_172880425,8025264,8031893
1,S1_172880688,8031893,8045094
1,S1_172899094,8045094,8051671
1,S1_172941374,8051671,8051673
1,S1_172947954,8051673,8051673
1,S1_173144062,8051673,8051673
1,S1_173144609,8051673,8051673
1,S1_174007693,8051673,8051673
1,S1_174218096,8051673,8051673
1,S1_174219748,8051673,8051673
1,S1_174224671,8051673,8051675
1,S1_174228667,8051675,8051682
1,S1_174281400,8051682,8061757
1,S1_174284182,8061757,8081977
1,S1_174296953,8081977,8112482
1,S1_174365871,8112482,8132840
1,S1_174373927,8132840,8132844
1,S1_174525702,8132844,8132848
1,S1_174527636,8132848,8132853
1,S1_174562467,8132853,8146742
1,S1_174635001,8146742,8174352
1,S1_174639422,8174352,8201634
1,S1_174639579,8201634,8215198
1,S1_175637505,8215198,8228306
1,S1_175645139,8228306,8241415
1,S1_175655223,8241415,8254354
1,S1_175897688,8254354,8267293
1,S1_176124123,8267293,8293403
1,S1_176758700,8293403,8319514
1,S1_176838607,8319514,8319518
1,S1_176840572,8319518,8319523
1,S1_178428329,8319523,8332631
1,S1_178477561,8332631,8345739
1,S1_179371190,8345739,8350070
1,S1_179572125,8350070,8358705
1,S1_179587502,8358705,8367295
1,S1_179587740,8367295,8371581
1,S1_179643084,8371581,8380399
1,S1_179643171,8380399,8398116
1,S1_179646646,8398116,8416004
1,S1_179724076,8416004,8424992
1,S1_179724228,8424992,8424996
1,S1_179724324,8424996,8425001
1,S1_179869156,8425001,8425005
1,S1_179870688,8425005,8451609
1,S1_179886153,8451609,8478214
1,S1_179922943,8478214,8478218
1,S1_180401950,8478218,8491292
1,S1_180504683,8491292,8504366
1,S1_180513050,8504366,8510828
1,S1_180607638,8510828,8523765
1,S1_180608912,8523765,8530245
1,S1_181884878,8530245,8543152
1,S1_182075269,8543152,8556059
1,S1_182096206,8556059,8581834
1,S1_182099505,8581834,8607610
1,S1_182169671,8607610,8620287
1,S1_182197271,8620287,8632964
1,S1_182655089,8632964,8645418
1,S1_182853046,8645418,8657872
1,S1_183098426,8657872,8657875
1,S1_183312354,8657875,8657875
1,S1_183446917,8657875,8657875
1,S1_183452221,8657875,8657875
1,S1_183452311,8657875,8657875
1,S1_183782081,8657875,8657875
1,S1_183782367,8657875,8657877
1,S1_183782528,8657877,8670270
1,S1_183816110,8670270,8688865
1,S1_183816612,8688865,8701288
1,S1_183842019,8701288,8707508
1,S1_184014090,8707508,8720025
1,S1_184127221,8720025,8732541
1,S1_184612485,8732541,8745187
1,S1_184624538,8745187,8757832
1,S1_184699973,8757832,8757837
1,S1_184700261,8757837,8757841
1,S1_184908150,8757841,8757845
1,S1_186636709,8757845,8777462
