chromosome,start,end,Name,colour,source,phenotype
1,8051751,8077790,GI,acen,flowering,DTF3
5,5160162,5183085,CO,acen,flowering,DTF3
1,24321373,24343999,FT,acen,flowering,DTF3
1,25972294,25996349,AP1,acen,flowering,DTF3
5,24834248,24856989,LFY,acen,flowering,DTF3
5,1014500,1035872,TFL1,acen,flowering,DTF3
2,18797505,18821125,SOC1,acen,flowering,DTF3
5,3163382,3189448,FLC,acen,flowering,DTF3
3,3219060,3242531,FLD,acen,flowering,DTF3
4,10990771,11013010,TSF,acen,flowering,DTF3
2,13967881,13993609,COP1,acen,flowering,DTF3
1,8051751,8077790,GI,acen,flowering,FT10
5,5160162,5183085,CO,acen,flowering,FT10
1,24321373,24343999,FT,acen,flowering,FT10
1,25972294,25996349,AP1,acen,flowering,FT10
5,24834248,24856989,LFY,acen,flowering,FT10
5,1014500,1035872,TFL1,acen,flowering,FT10
2,18797505,18821125,SOC1,acen,flowering,FT10
5,3163382,3189448,FLC,acen,flowering,FT10
3,3219060,3242531,FLD,acen,flowering,FT10
4,10990771,11013010,TSF,acen,flowering,FT10
2,13967881,13993609,COP1,acen,flowering,FT10
1,8051751,8077790,GI,acen,flowering,FT16
5,5160162,5183085,CO,acen,flowering,FT16
1,24321373,24343999,FT,acen,flowering,FT16
1,25972294,25996349,AP1,acen,flowering,FT16
5,24834248,24856989,LFY,acen,flowering,FT16
5,1014500,1035872,TFL1,acen,flowering,FT16
2,18797505,18821125,SOC1,acen,flowering,FT16
5,3163382,3189448,FLC,acen,flowering,FT16
3,3219060,3242531,FLD,acen,flowering,FT16
4,10990771,11013010,TSF,acen,flowering,FT16
2,13967881,13993609,COP1,acen,flowering,FT16
